year,name,artists,album,popularity,release_date
2002,The Good Stuff,Kenny Chesney,Greatest Hits II,50,2009-05-19
2002,We Thuggin' (feat. R. Kelly),"Fat Joe, R. Kelly",Jealous Ones Still Envy (J.O.S.E),44,2001-12-04
2002,Good Morning Beautiful,Steve Holy,Blue Moon,0,2000-10-03
2002,Rock the Boat,Aaliyah,Aaliyah,0,2001-01-01
2002,Drive (For Daddy Gene),Alan Jackson,It's All About The Music,23,2004-07-23
2002,Standing Still,Jewel,This Way,0,2001-10-30
2002,Anything (feat. Next),"Jaheim, Next",Classic Jaheim Vol. 1,23,2008-11-25
2002,Cute Without The 'E' (Cut From The Team),Taking Back Sunday,Tell All Your Friends,1,2002-03-26
2002,Grindin',Clipse,Lord Willin',57,2002-04-01
2002,Full Moon,Brandy,Full Moon,57,2002-02-25
2002,Uh Huh,B2K,Playlist: The Very Best Of Omarion,26,2010-07-27
2002,A New Day Has Come - Radio Remix,Céline Dion,My Love Essential Collection,0,2008-10-27
2002,Turn Off The Light,Nelly Furtado,"Whoa, Nelly! (Special Edition)",0,2008-01-01
2002,Living And Living Well,George Strait,Best Of (Deluxe Edition),35,2011-01-01
2002,My List,Toby Keith,Toby Keith 35 Biggest Hits,0,2008-01-01
2003,Crazy In Love (feat. JAY-Z),"Beyoncé, JAY-Z",Dangerously In Love,82,2003-06-24
2003,In Da Club,50 Cent,Get Rich Or Die Tryin',84,2003-02-06
2003,Cry Me a River,Justin Timberlake,Justified,80,2002-11-04
2003,Excuse Me Miss,JAY-Z,The Blueprint 2: The Gift & The Curse,58,2002-11-12
2003,Like a Stone,Audioslave,Audioslave,85,2002-11-17
2003,03' Bonnie & Clyde,"JAY-Z, Beyoncé",The Blueprint 2: The Gift & The Curse,71,2002-11-12
2003,Clocks,Coldplay,A Rush of Blood to the Head,88,2002-08-27
2003,Don't Know Why,Norah Jones,Come Away With Me,3,2002-02-26
2003,Work It,Missy Elliott,Under Construction,74,2002-11-12
2003,Right Thurr,Chingy,Jackpot,74,2003-01-01
2003,Rock Your Body,Justin Timberlake,Justified,84,2002-11-04
2003,Dirt Off Your Shoulder,JAY-Z,The Black Album,65,2003-11-14
2003,Headstrong,Trapt,Trapt,76,2002-11-05
2003,Don't Mess With My Man (feat. Brian Casey & Brandon Casey),"Nivea, Brian Casey, Brandon Casey",Nivea,59,2002-12-09
2003,Get Busy,Sean Paul,Dutty Rock,3,2002-11-12
2003,Beautiful,"Snoop Dogg, Pharrell Williams, Uncle Charlie Wilson",The Best Of Snoop Dogg,67,2005-01-01
2003,Drift Away,Uncle Kracker,No Stranger to Shame,72,2002-07-09
2003,Rock Wit U (Awww Baby),Ashanti,Chapter II,72,2003-01-01
2003,Can't Let You Go (feat. Mike Shorey & Lil' Mo),"Fabolous, Mike Shorey, Lil' Mo",Street Dreams (Bonus Track),60,2003-02-01
2003,99 Problems,JAY-Z,The Black Album,66,2003-11-14
2003,Into You (feat. Ashanti),"Fabolous, Ashanti",Street Dreams (Bonus Track),56,2003-02-01
2003,Red Dirt Road,Brooks & Dunn,#1s ... and then some,54,2009-09-08
2003,Mesmerize,"Ja Rule, Ashanti",The Last Temptation,66,2002-01-01
2003,Change Clothes,JAY-Z,The Black Album,52,2003-11-14
